Date,General Electric,Chesapeake Energy,AT&T,Cisco Systems,Campbell Soup
12/31/2007,37.08,39.36,42.12,27.25,35.77
3/31/2008,36.63,45.76,37.71,24.08,33.91
6/30/2008,26.35,66.77,32.75,23.47,33.03
9/30/2008,23.87,33.29,28.35,22.25,38.3
12/31/2008,15.82,15.34,28.19,16.18,29.49
3/31/2009,10.33,17.65,25.44,16.53,27.03
6/30/2009,11.84,19.72,25.14,18.94,29.66
9/30/2009,16.83,28.8,27.34,23.55,32.94
12/31/2009,15.27,26.36,28.29,24.1,34.14
3/31/2010,18.21,23.52,25.9,26.52,35.25
6/30/2010,14.47,21.47,24.35,21.52,35.99
9/30/2010,16.46,22.66,28.78,22.05,36.1
12/31/2010,18.15,25.89,29.36,20.24,34.5
3/31/2011,20.08,34.58,30.63,17.32,33.35
6/30/2011,18.59,29.18,31.39,15.36,34.75
9/30/2011,15.65,26.52,28.73,15.63,32.09
12/31/2011,18.03,22.63,30.1,18.19,33.54
3/31/2012,20.07,23.38,31.32,21.12,33.35
6/30/2012,20.42,18.28,35.7,16.79,32.72
9/30/2012,22.77,18.97,37.91,19,34.65
12/31/2012,20.29,16.5,33.13,19.38,34.5
3/31/2013,23.14,20.44,36.69,20.84,44.9
6/30/2013,23.32,20.48,35.55,24.43,44.74
9/30/2013,23.88,25.92,33.78,23.12,40.73
12/31/2013,27.9,27.08,35.17,22.25,43.35
3/31/2014,26.02,25.72,35.3,22.49,44.82
6/30/2014,26.44,30.43,35.4,24.67,45.67
9/30/2014,25.36,23.6,35.26,24.9,42.74
12/31/2014,25.42,19.46,33.98,28.28,44.6
3/31/2015,25.09,13.88,32.97,27.34,46.36
6/30/2015,26.82,11.15,36.03,27.83,47.27
9/30/2015,24.73,6.88,32.36,26,51
12/31/2015,30.86,4.38,34.56,27.38,53.05
3/31/2016,31.89,3.97,39.42,28.53,64.05
6/30/2016,30.66,4.39,42.69,28.38,62.96
9/30/2016,29.6,6.13,40.91,31.61,54.68
12/31/2016,31.63,7.15,42.76,30.56,60.93
3/31/2017,29.86,5.83,41.79,33.72,57.15
6/30/2017,27.09,5,37.73,31.79,52.1
9/30/2017,24.22,4.34,38.95,33.31,47.16
12/31/2017,17.27,4.08,39.22,38.41,48.48
3/31/2018,12.92,3.03,34.85,44.49,42.48
